filename,onset_method,num_annotations,num_tp,num_fp,num_fn,precision,recall,fmeasure,mean_error,std_error,threshold
B2Dr2S2phr2v2BassPick,CNNOnsetDetector,105.0,101.0,45.0,4.0,0.6917808219178082,0.9619047619047619,0.804780876494024,-0.40377372215086055,5.673822221062071,0.1
B1Dr1S2phr3v1BassPick,CNNOnsetDetector,177.0,173.0,63.0,4.0,0.7330508474576272,0.9774011299435028,0.837772397094431,-0.2530846140861074,4.761823279770435,0.1
B1Dr3S2phr3v1BassPick,CNNOnsetDetector,180.0,177.0,55.0,3.0,0.7629310344827587,0.9833333333333333,0.8592233009708738,-1.6102504780999431,6.204410762828836,0.1
B2Dr2S2phr3v1BassPick,CNNOnsetDetector,151.0,143.0,55.0,8.0,0.7222222222222222,0.9470198675496688,0.8194842406876791,-0.24196793154329654,6.070528663965852,0.1
B1Dr1S2phr3v2BassPick,CNNOnsetDetector,175.0,170.0,52.0,5.0,0.7657657657657657,0.9714285714285714,0.8564231738035264,-0.22489841653088968,4.640613056908059,0.1
B1Dr3S2phr3v2BassPick,CNNOnsetDetector,165.0,159.0,52.0,6.0,0.7535545023696683,0.9636363636363636,0.8457446808510638,-1.1494588351893467,5.024282565672439,0.1
B2Dr2S2phr3v2BassPick,CNNOnsetDetector,148.0,142.0,71.0,6.0,0.6666666666666666,0.9594594594594594,0.7867036011080331,-0.7863261664973792,5.936818372912352,0.1
B1Dr2S2phr1v1BassPick,CNNOnsetDetector,285.0,282.0,123.0,3.0,0.6962962962962963,0.9894736842105263,0.8173913043478261,-0.5170439046781231,5.6835519970538195,0.1
B2Dr1S2phr1v1BassPick,CNNOnsetDetector,262.0,251.0,153.0,11.0,0.6212871287128713,0.9580152671755725,0.7537537537537538,-0.7700685561112723,5.4752216967110465,0.1
B2Dr3S2phr1v1BassPick,CNNOnsetDetector,282.0,271.0,102.0,11.0,0.7265415549597856,0.9609929078014184,0.8274809160305345,-1.3307574766869867,6.779436712556978,0.1
B1Dr2S2phr1v2BassPick,CNNOnsetDetector,278.0,272.0,116.0,6.0,0.7010309278350515,0.9784172661870504,0.8168168168168168,-0.8649815640867576,4.899134748574365,0.1
B2Dr1S2phr1v2BassPick,CNNOnsetDetector,287.0,273.0,146.0,14.0,0.6515513126491647,0.9512195121951219,0.773371104815864,0.07331077042711244,5.851941239584195,0.1
B2Dr3S2phr1v2BassPick,CNNOnsetDetector,291.0,285.0,74.0,6.0,0.7938718662952646,0.979381443298969,0.8769230769230769,-0.12120098468787302,6.263325726384579,0.1
B1Dr2S2phr2v1BassPick,CNNOnsetDetector,109.0,106.0,31.0,3.0,0.7737226277372263,0.9724770642201835,0.8617886178861789,-1.1434637002157122,5.631423280357297,0.1
B2Dr1S2phr2v1BassPick,CNNOnsetDetector,106.0,100.0,78.0,6.0,0.5617977528089888,0.9433962264150944,0.7042253521126761,-1.3463138424076604,6.868784210526453,0.1
B2Dr3S2phr2v1BassPick,CNNOnsetDetector,106.0,100.0,29.0,6.0,0.7751937984496124,0.9433962264150944,0.851063829787234,-0.3373834498821582,6.295091511240878,0.1
B1Dr2S2phr2v2BassPick,CNNOnsetDetector,109.0,106.0,24.0,3.0,0.8153846153846154,0.9724770642201835,0.8870292887029289,-1.7816232018793041,4.4210387101222395,0.1
B2Dr1S2phr2v2BassPick,CNNOnsetDetector,104.0,99.0,53.0,5.0,0.6513157894736842,0.9519230769230769,0.7734374999999999,-1.3595671479189273,6.550171054782866,0.1
B2Dr3S2phr2v2BassPick,CNNOnsetDetector,105.0,103.0,34.0,2.0,0.7518248175182481,0.9809523809523809,0.8512396694214875,-1.2385556393481514,5.862264995297195,0.1
B1Dr2S2phr3v1BassPick,CNNOnsetDetector,176.0,167.0,75.0,9.0,0.6900826446280992,0.9488636363636364,0.799043062200957,-0.24410796912853994,5.1971713480342645,0.1
B2Dr1S2phr3v1BassPick,CNNOnsetDetector,165.0,162.0,58.0,3.0,0.7363636363636363,0.9818181818181818,0.8415584415584415,-0.27225298493033306,5.799963943235965,0.1
B2Dr3S2phr3v1BassPick,CNNOnsetDetector,150.0,146.0,60.0,4.0,0.7087378640776699,0.9733333333333334,0.8202247191011237,0.8011031491354765,5.870982407944853,0.1
B1Dr2S2phr3v2BassPick,CNNOnsetDetector,174.0,171.0,49.0,3.0,0.7772727272727272,0.9827586206896551,0.8680203045685279,-1.0663351329481656,5.777192152726028,0.1
B2Dr1S2phr3v2BassPick,CNNOnsetDetector,152.0,146.0,52.0,6.0,0.7373737373737373,0.9605263157894737,0.8342857142857143,-0.8277634893669575,6.610262200777223,0.1
B2Dr3S2phr3v2BassPick,CNNOnsetDetector,142.0,139.0,61.0,3.0,0.695,0.9788732394366197,0.8128654970760233,-0.29484772571399903,6.250746125591189,0.1
